tool,context,text
"budget","activities","purchase"
"budget","activities","value addition"
"budget","activities","marketing and selling"
"budget","activities","weeding"
"budget","activities","watering"
"budget","activities","transport"
"budget","activities","threshing"
"budget","activities","storage"
"budget","activities","sowing"
"budget","activities","shelling"
"budget","activities","post-harvest handling"
"budget","activities","ploughing"
"budget","activities","mulching"
"budget","activities","land clearing"
"budget","activities","harvesting"
"budget","activities","compost manure making"
"budget","activities","banding"
"budget","activities","bagging"
"budget","activities","apply pesticide"
"budget","activities","apply fertiliser"
"budget","activities","vaccinate"
"budget","activities","transport livestock"
"budget","activities","relocation"
"budget","activities","provide water"
"budget","activities","provide supplements"
"budget","activities","feeding livestock"
"budget","activities","dipping"
"budget","activities","build housing"
"budget","enterprise","afforestation"
"budget","enterprise","tomatoes"
"budget","enterprise","sweet potatoes"
"budget","enterprise","soya beans"
"budget","enterprise","sorghum"
"budget","enterprise","rice"
"budget","enterprise","pigeon peas"
"budget","enterprise","onions"
"budget","enterprise","maize"
"budget","enterprise","groundnuts"
"budget","enterprise","cowpeas"
"budget","enterprise","fish"
"budget","enterprise","watermelon"
"budget","enterprise","paw-paw"
"budget","enterprise","mixed"
"budget","enterprise","sheep"
"budget","enterprise","pigs"
"budget","enterprise","guinea fowl"
"budget","enterprise","goats"
"budget","enterprise","ducks"
"budget","enterprise","chicken"
"budget","enterprise","cattle"
"budget","inputs","labour - paid"
"budget","inputs","money"
"budget","inputs","transportation hire"
"budget","inputs","wood"
"budget","inputs","tractor hire"
"budget","inputs","tools"
"budget","inputs","sheller hire"
"budget","inputs","seeds"
"budget","inputs","protective equipment"
"budget","inputs","pot for storage"
"budget","inputs","ox cart"
"budget","inputs","manure wheelbarrows"
"budget","inputs","manure sacks"
"budget","inputs","fertiliser"
"budget","inputs","chemicals"
"budget","inputs","bags"
"budget","inputs","vaccine"
"budget","inputs","supplements"
"budget","inputs","housing"
"budget","inputs","feed"
"budget","other","family labour"
"budget","other","add custom"
"budget","outputs","money"
"budget","outputs","wood"
"budget","outputs","crop"
"budget","outputs","milk"
"budget","outputs","meat"
"budget","outputs","manure for compost"
"budget","outputs","fodder for livestock"
"budget","outputs","eggs"
"budget",,"title"
"budget",,"starting in"
"budget",,"description"
"budget",,"What is your type of enterprise?"
"budget",,"Values"
"budget",,"Total"
"budget",,"Title"
"budget",,"Summary"
"budget",,"Show More"
"budget",,"Share as Picture"
"budget",,"Share Budget"
"budget",,"Share App Link"
"budget",,"Select Enterprise"
"budget",,"Select"
"budget",,"Saved Budgets"
"budget",,"Save your budget"
"budget",,"Save"
"budget",,"Quantity"
"budget",,"Outputs"
"budget",,"Next"
"budget",,"Length"
"budget",,"Inputs"
"budget",,"Increase Scale"
"budget",,"Import Budget Code"
"budget",,"How long is your budget for?"
"budget",,"Family"
"budget",,"Enterprise"
"budget",,"Description (optional)"
"budget",,"Decrease Scale"
"budget",,"Days"
"budget",,"Create New Budget"
"budget",,"Cost"
"budget",,"Consumed"
"budget",,"Close"
"budget",,"Balance"
"budget",,"Add Member"
"budget",,"Activities"
"climate",,"years out of every 10"
"climate",,"satisfy"
"climate",,"out of"
"climate",,"Year"
"climate",,"Tools"
"climate",,"Station"
"climate",,"Show Tool Options"
"climate",,"Share Chart"
"climate",,"Share App Link"
"climate",,"Share"
"climate",,"Seasonal Total Rainfall"
"climate",,"Print Version"
"climate",,"On average"
"climate",,"Hide Tool Options"
"climate",,"Definition"
"climate",,"Close"
"climate",,"Chart"
"climate",,"Analyse"
"monitoring",,"Forms"
"resources",,"Resources"
"resources",,"Collection not found"
